EquipmentId;Historian;Path;Tag
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/station_name;station_name
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/cycle_Id;cycle_Id
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/container_Id;container_Id
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/recipe_name;recipe_name
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/recipe_ver;recipe_ver
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/batch_Id;batch_Id
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/matr_Id;matr_Id
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/cycle_result;cycle_result
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/t_start;t_start
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/t_end;t_end
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/vRotStir_SP;vRotStir_SP
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/dStir;dStir
PROD;inmation;/System/Core/ATLNZ-Relay/ATLNZ/ATLNZ-V305-Con01/1823907_PLS4000_ATS00753/PROD/LIQS/4128_AL10__1825145/090_Kuehlstation_1__1823584/Tcool_SP;Tcool_SP
